food,Caloric Value,Protein,Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Cholesterol,Saturated Fats,Water
Samosa,262,4.5,15.5,26.5,2.2,1.8,18,1.5,22,55,225,420,0.7,15,0.15,0.05,1.5,0.15,0,3.5,0,0.3,0.2,0,3.2,35
Kachori,365,6.5,22.5,34.5,3.5,2.5,28,2.2,35,85,185,380,1.0,22,0.22,0.08,2.0,0.18,0,0.8,0,0.4,0.2,0,4.5,25
Pakora (Mixed Veg),285,5.5,18.5,24.5,2.5,2.0,35,1.8,28,65,225,520,0.8,185,0.15,0.08,1.5,0.15,0,4.5,0,0.4,0.2,0,3.5,38
Onion Bhaji,295,4.8,19.5,25.5,2.2,3.5,28,1.5,22,55,185,480,0.6,25,0.12,0.05,1.2,0.12,0,5.5,0,0.3,0.2,0,3.8,35
Paneer Pakora,325,10.5,22.5,18.5,1.2,1.5,185,1.8,35,165,185,420,1.2,85,0.12,0.22,1.0,0.12,0.15,0.5,0,0.3,0.2,22,8.5,35
Momos (Veg - 6 pcs),185,5.5,6.5,26.5,2.0,1.8,28,1.5,22,65,185,520,0.7,125,0.15,0.06,1.5,0.15,0,4.5,0,0.3,0.2,0,1.2,52
Spring Roll (2 pcs),225,4.5,12.5,24.5,1.8,2.2,22,1.2,18,48,165,480,0.6,145,0.12,0.05,1.2,0.12,0,3.5,0,0.4,0.2,0,2.5,42
Manchurian (Veg),185,4.5,10.5,18.5,2.2,5.5,32,1.5,22,55,225,680,0.7,185,0.12,0.06,1.2,0.15,0,8.5,0,0.4,0.2,0,1.8,58
Fried Rice (Veg),195,4.2,7.5,28.5,1.5,1.8,25,1.2,18,52,145,580,0.6,125,0.1,0.04,0.8,0.1,0,3.5,0,0.3,0.1,0,1.2,55
Hakka Noodles,215,5.5,8.5,30.5,1.8,2.2,22,1.5,20,58,165,720,0.7,85,0.15,0.05,1.2,0.12,0,2.5,0,0.3,0.1,0,1.5,52
Chow Mein,235,6.2,10.5,30.5,2.0,2.8,28,1.8,22,65,195,780,0.8,145,0.18,0.06,1.5,0.15,0,4.5,0,0.4,0.2,0,2.0,48
Curd (Plain Dahi),60,3.5,3.2,4.8,0,4.5,125,0.1,12,95,155,45,0.5,28,0.04,0.18,0.1,0.04,0.35,0.8,0,0.05,0,12,2.0,88
Lassi (Sweet),95,2.8,2.5,15.5,0,14.5,105,0.1,10,82,135,48,0.4,22,0.03,0.15,0.1,0.04,0.28,0.5,0,0.04,0,10,1.5,82
Lassi (Salted),55,2.5,2.2,5.8,0,3.5,98,0.1,9,78,125,185,0.4,18,0.03,0.14,0.1,0.03,0.25,0.4,0,0.04,0,8,1.4,88
Chaas (Buttermilk),35,1.8,1.2,3.5,0,2.5,75,0.05,8,62,95,145,0.3,12,0.02,0.1,0.05,0.02,0.18,0.2,0,0.02,0,5,0.7,92
Raita (Mixed Veg),65,2.8,3.5,5.5,0.5,3.8,108,0.2,14,85,145,125,0.4,85,0.04,0.15,0.15,0.05,0.28,2.5,0,0.1,0.1,10,2.0,85
Paneer (Raw),265,18.5,20.5,3.5,0,0,480,0.2,25,280,105,22,1.5,185,0.05,0.35,0.1,0.06,0.45,0,0,0.2,0.1,55,12.5,52
Kheer (Rice),155,3.8,5.5,23.5,0.2,18.5,125,0.3,15,95,145,55,0.5,85,0.05,0.18,0.2,0.05,0.22,0.5,0,0.1,0.05,15,3.2,62
Gulab Jamun (2 pcs),325,4.5,12.5,50.5,0.5,42.5,85,0.5,12,75,95,125,0.4,55,0.05,0.12,0.2,0.04,0.12,0,0,0.1,0.05,22,5.5,28
Rasgulla (2 pcs),185,4.2,0.8,42.5,0,38.5,105,0.2,8,85,65,45,0.3,25,0.03,0.15,0.1,0.03,0.18,0,0,0.05,0.02,8,0.4,48
Jalebi (3 pcs),385,2.5,12.5,68.5,0.2,58.5,18,0.5,8,32,42,85,0.3,5,0.02,0.02,0.2,0.02,0,0,0,0.05,0.02,0,2.8,18
Ladoo (Besan - 1 pc),185,4.5,9.5,22.5,1.2,15.5,25,1.2,18,55,85,15,0.6,45,0.08,0.05,0.5,0.08,0,0,0,0.2,0.1,12,3.5,12
Halwa (Suji),245,3.5,10.5,35.5,0.5,22.5,22,0.8,12,42,55,85,0.4,125,0.08,0.04,0.5,0.05,0,0,0,0.15,0.05,18,4.5,32
Gajar Ka Halwa,185,3.2,8.5,24.5,1.5,18.5,85,0.5,15,55,185,65,0.4,2850,0.05,0.08,0.5,0.08,0.1,3.5,0,0.5,0.2,12,3.8,45
Moong Dal Halwa,285,6.5,14.5,32.5,1.8,22.5,45,1.5,28,95,145,55,0.8,85,0.12,0.08,0.8,0.1,0.05,0.2,0,0.2,0.1,18,5.5,25
Barfi (Kaju - 1 pc),165,3.5,8.5,19.5,0.3,15.5,18,0.5,22,65,85,12,0.5,5,0.08,0.02,0.2,0.05,0,0,0,0.3,0.05,8,2.5,15
Shrikhand,255,5.8,8.5,40.5,0,35.5,145,0.2,12,105,155,65,0.5,95,0.04,0.22,0.1,0.04,0.35,0.5,0,0.08,0.05,22,5.2,42
Kulfi,195,4.5,10.5,22.5,0,18.5,145,0.2,14,115,175,75,0.5,125,0.05,0.2,0.1,0.04,0.28,0.5,0,0.1,0.05,28,6.5,52
Masala Chai,45,1.2,1.5,6.5,0,5.8,45,0.2,8,35,55,25,0.2,12,0.01,0.05,0.05,0.01,0.08,0,0,0.02,0,5,0.8,88
Filter Coffee,28,0.8,1.2,3.8,0,3.2,38,0.1,8,28,65,18,0.1,8,0.01,0.04,0.2,0.01,0.05,0,0,0.01,0,4,0.7,92
Mango Lassi,145,3.5,3.5,24.5,0.5,22.5,115,0.3,14,88,225,52,0.5,385,0.04,0.16,0.3,0.08,0.28,15.5,0,0.5,0.1,10,2.0,72
Badam Milk,165,5.5,8.5,18.5,1.0,15.5,185,0.5,35,145,225,65,0.8,85,0.05,0.22,0.4,0.08,0.32,0.5,0,2.5,0.1,12,1.8,72
Thandai,145,4.8,5.5,20.5,0.8,16.5,155,0.4,28,125,195,55,0.6,65,0.05,0.18,0.3,0.06,0.25,0.5,0,1.2,0.1,10,2.2,75
Jaljeera,25,0.5,0.2,5.5,0.3,3.5,15,0.8,8,12,85,420,0.2,25,0.02,0.02,0.2,0.05,0,8.5,0,0.1,0.05,0,0.05,92
Aam Panna,65,0.3,0.1,16.5,0.2,14.5,8,0.4,5,8,95,185,0.1,125,0.02,0.01,0.2,0.05,0,25.5,0,0.1,0.02,0,0.02,85
Nimbu Pani,35,0.2,0.1,8.5,0.1,6.5,8,0.2,4,6,45,285,0.1,2,0.01,0.01,0.1,0.02,0,18.5,0,0.05,0.01,0,0.02,92
Coconut Water,22,0.5,0.2,4.5,0.2,2.5,28,0.3,28,22,265,105,0.1,0,0.02,0.01,0.1,0.03,0,2.8,0,0,0,0,0.2,95
Sugarcane Juice,75,0.3,0.1,18.5,0,17.5,12,0.4,12,18,42,18,0.1,0,0.02,0.01,0.1,0.02,0,2.5,0,0,0,0,0.02,82
